
@ TESTS FOR REFERENCE
[positive] Reference Registration,,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -j,dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"name":"dmel-all-chromosome-r6.06.cutted".+"type":"FILE".+"format":"REFERENCE".*,
[negative] Reference Registration {reference already registred},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfa,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfa -j,dr testfa,,.*File with name 'testfa' already exists.*
[negative] Reference Registration {wrong format},,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa.gz -n testfa -j,,,.*ERROR.*You have provided genome data in a file which format isn't supported by the system.*
[negative] Reference Registration {reference file does not exist},,rr $resourcePath/no_reference.fa -n no_ref -j,,,.*No such reference genome is found in the system.*
[positive] Reference Registration {with -n option},,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfa -j,dr testfa,.*"id":.+"name":"testfa".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Reference Registration {with --pretty option},,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa --pretty tf -j,dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"name":"dmel-all-chromosome-r6.06.cutted".+"prettyName":"tf".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Reference Registration {with gene file},,rr -j $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -g $resourcePath/dmel-all-r6.06.sorted.cutted.gtf,rg dmel-all-chromosome-r6.06.cutted;df dmel-all-r6.06.sorted.cutted.gtf;dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"type":"FILE".+"format":"REFERENCE".*,
[positive] Reference Registration {without GC content},,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -ngc -j,dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"type":"FILE".+"format":"REFERENCE".*,
[positive] Reference Registration {relative path},,rr $resourceRelativePath/dmel-all-chromosome-r6.06.cutted.fa -j,dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"type":"FILE".+"format":"REFERENCE".*,
[positive] Reference Deletion,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa,dr dmel-all-chromosome-r6.06.cutted,,.*The file 'dmel-all-chromosome-r6.06.cutted' has been successfully unregistered.*,
[positive] Reference Deletion,,dr no_ref,,,.*Failed to find a reference by name: .no_ref.*
[positive] Reference Listing,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa,lr,dr dmel-all-chromosome-r6.06.cutted,.*"id":.+"name":"dmel-all-chromosome-r6.06.cutted".+"type":"FILE".+"format":"REFERENCE".*,

@ TESTS FOR GENE FILES
